param,value,lr_rmse,rqrc_rmse
window_size,3,0.03692181300233938,0.03706041199077843
window_size,5,0.04371488744864599,0.04332478766505908
window_size,7,0.04659165986632026,0.04731485936981527
window_size,10,0.05381178924293859,0.047829922261085005
pca_components,4,0.04818876818554089,0.046257246489723035
pca_components,6,0.043714915410755915,0.043324806474316316
pca_components,8,0.04414726319233849,0.04577051602161888
pca_components,10,0.04293151754161444,0.04459195292234466
hidden_dim,32,0.04371489144323422,0.04332344916391221
hidden_dim,64,0.04371489144323422,0.04332477859630714
hidden_dim,128,0.04371489144323422,0.043206508415714724
